long,lat,coord_x,coord_y
-58.463945905500005,-34.6671938783, FRANCISCO," Gral. Av."""
-58.4639174268,-34.6670068312, FRANCISCO," Gral. Av."""
-58.4639155732,-34.667087870100005, FRANCISCO," Gral. Av."""
-58.463826434,-34.6669464361, FRANCISCO," Gral. Av."""
-58.4638246904,-34.6671040967, FRANCISCO," Gral. Av."""
-58.4637979591,-34.6670245004, FRANCISCO," Gral. Av."""
-58.463739042,-34.6669081259, FRANCISCO," Gral. Av."""
-58.4637123125,-34.6669699645, FRANCISCO," Gral. Av."""
-58.4636178296,-34.6669979998, FRANCISCO," Gral. Av."""
-58.455283979099995,-34.665899201100004, FRANCISCO," Gral. Av."""
-58.4552450262,-34.6659387716, FRANCISCO," Gral. Av."""
-58.4552160017,-34.6659774413, FRANCISCO," Gral. Av."""
-58.455159265,-34.666019715, FRANCISCO," Gral. Av."""
-58.455129148800005,-34.6660647848, FRANCISCO," Gral. Av."""
-58.455091395299995,-34.6661107556, FRANCISCO," Gral. Av."""
-58.463095323999994,-34.664718368, FRANCISCO," Gral. Av."""
-58.4630332461,-34.6647121483, FRANCISCO," Gral. Av."""
-58.462965058500004,-34.6647234164, FRANCISCO," Gral. Av."""
-58.4629045081,-34.6647634401, FRANCISCO," Gral. Av."""
-58.4628681776,-34.6647208925, FRANCISCO," Gral. Av."""
-58.4628227921,-34.664753434299996, FRANCISCO," Gral. Av."""
-58.4627879891,-34.6647083627, FRANCISCO," Gral. Av."""
-58.462741076,-34.6647446905, FRANCISCO," Gral. Av."""
-58.462706273100004,-34.6647809281, FRANCISCO," Gral. Av."""
-58.46269263560001,-34.6647158446, FRANCISCO," Gral. Av."""
-58.462665360500004,-34.6647634403, FRANCISCO," Gral. Av."""
-58.4626365581,-34.664790934, FRANCISCO," Gral. Av."""
-58.4626365581,-34.6647196306, FRANCISCO," Gral. Av."""
-58.462597282,-34.6647571302, FRANCISCO," Gral. Av."""
-58.462566952299994,-34.6647271125, FRANCISCO," Gral. Av."""
-58.4638689762,-34.6663820484, FRANCISCO," Gral. Av."""
-58.4638628676,-34.6664646197, FRANCISCO," Gral. Av."""
-58.4638522842,-34.6664245962, FRANCISCO," Gral. Av."""
-58.46383864479999,-34.6663094833, FRANCISCO," Gral. Av."""
-58.4638371178,-34.666344549, FRANCISCO," Gral. Av."""
-58.4638355929,-34.666530875300005, FRANCISCO," Gral. Av."""
-58.4638220636,-34.6664821079, FRANCISCO," Gral. Av."""
-58.46380842439999,-34.6663782629, FRANCISCO," Gral. Av."""
-58.4638007864,-34.6663182275, FRANCISCO," Gral. Av."""
-58.463791734,-34.6665483635, FRANCISCO," Gral. Av."""
-58.4637796232,-34.6665196079, FRANCISCO," Gral. Av."""
-58.463778095500004,-34.6664933762, FRANCISCO," Gral. Av."""
-58.4637750388,-34.6663532935, FRANCISCO," Gral. Av."""
-58.4637675113,-34.6663982751, FRANCISCO," Gral. Av."""
-58.463765986300004,-34.6665859535, FRANCISCO," Gral. Av."""
-58.463759985100005,-34.6665408819, FRANCISCO," Gral. Av."""
-58.463737181599996,-34.6664570488, FRANCISCO," Gral. Av."""
-58.4637296541,-34.6665008585, FRANCISCO," Gral. Av."""
-58.46371906979999,-34.666393317600004, FRANCISCO," Gral. Av."""
-58.4637023777,-34.6664333414, FRANCISCO," Gral. Av."""
-58.4669871554,-34.6628458354, FRANCISCO," Gral. Av."""
-58.4669798505,-34.6629363396, FRANCISCO," Gral. Av."""
-58.46693064390001,-34.6628674718, FRANCISCO," Gral. Av."""
-58.46691045399999,-34.6627311757, FRANCISCO," Gral. Av."""
-58.4668992273,-34.6629356213, FRANCISCO," Gral. Av."""
