long, lat, coord_x, coord_y
-58.46330765,-34.66680645, FRANCISCO, Gral."
-58.46418844,-34.66726166, FRANCISCO, Gral."
-58.46412069,-34.66718802, FRANCISCO, Gral."
-58.46407247,-34.6672705, FRANCISCO, Gral."
-58.4640333,-34.66718802, FRANCISCO, Gral."
-58.46400471,-34.66710554, FRANCISCO, Gral."
-58.46397798,-34.66727492, FRANCISCO, Gral."
-58.46394591,-34.66719388, FRANCISCO, Gral."
-58.46391743,-34.66700683, FRANCISCO, Gral."
-58.46391557,-34.66708787, FRANCISCO, Gral."
-58.46382643,-34.66694644, FRANCISCO, Gral."
-58.46382469,-34.6671041, FRANCISCO, Gral."
-58.46379796,-34.6670245, FRANCISCO, Gral."
-58.46373904,-34.66690813, FRANCISCO, Gral."
-58.46371231,-34.66696996, FRANCISCO, Gral."
-58.46361783,-34.666998, FRANCISCO, Gral."
-58.45528398,-34.6658992, FRANCISCO, Gral."
-58.45524503,-34.66593877, FRANCISCO, Gral."
-58.455216,-34.66597744, FRANCISCO, Gral."
-58.45515927,-34.66601972, FRANCISCO, Gral."
-58.45512915,-34.66606478, FRANCISCO, Gral."
-58.4550914,-34.66611076, FRANCISCO, Gral."
-58.46309532,-34.66471837, FRANCISCO, Gral."
-58.46303325,-34.66471215, FRANCISCO, Gral."
-58.46296506,-34.66472342, FRANCISCO, Gral."
-58.46290451,-34.66476344, FRANCISCO, Gral."
-58.46286818,-34.66472089, FRANCISCO, Gral."
-58.46282279,-34.66475343, FRANCISCO, Gral."
-58.46278799,-34.66470836, FRANCISCO, Gral."
-58.46274108,-34.66474469, FRANCISCO, Gral."
-58.46270627,-34.66478093, FRANCISCO, Gral."
-58.46269264,-34.66471584, FRANCISCO, Gral."
-58.46266536,-34.66476344, FRANCISCO, Gral."
-58.46263656,-34.66479093, FRANCISCO, Gral."
-58.46263656,-34.66471963, FRANCISCO, Gral."
-58.46259728,-34.66475713, FRANCISCO, Gral."
-58.46256695,-34.66472711, FRANCISCO, Gral."
-58.46386898,-34.66638205, FRANCISCO, Gral."
-58.46386287,-34.66646462, FRANCISCO, Gral."
-58.46385228,-34.6664246, FRANCISCO, Gral."
-58.46383864,-34.66630948, FRANCISCO, Gral."
-58.46383712,-34.66634455, FRANCISCO, Gral."
-58.46383559,-34.66653088, FRANCISCO, Gral."
-58.46382206,-34.66648211, FRANCISCO, Gral."
-58.46380842,-34.66637826, FRANCISCO, Gral."
-58.46380079,-34.66631823, FRANCISCO, Gral."
-58.46379173,-34.66654836, FRANCISCO, Gral."
-58.46377962,-34.66651961, FRANCISCO, Gral."
-58.4637781,-34.66649338, FRANCISCO, Gral."
-58.46377504,-34.66635329, FRANCISCO, Gral."
-58.46376751,-34.66639828, FRANCISCO, Gral."
-58.46376599,-34.66658595, FRANCISCO, Gral."
-58.46375999,-34.66654088, FRANCISCO, Gral."
-58.46373718,-34.66645705, FRANCISCO, Gral."
-58.46372965,-34.66650086, FRANCISCO, Gral."
-58.46371907,-34.66639332, FRANCISCO, Gral."
-58.46370238,-34.66643334, FRANCISCO, Gral."
-58.46698716,-34.66284584, FRANCISCO, Gral."
-58.46697985,-34.66293634, FRANCISCO, Gral."
-58.46693064,-34.66286747, FRANCISCO, Gral."
-58.46691045,-34.66273118, FRANCISCO, Gral."
-58.46689923,-34.66293562, FRANCISCO, Gral."
-58.46688744,-34.66278968, FRANCISCO, Gral."
-58.4668246,-34.66285125, FRANCISCO, Gral."
-58.46680888,-34.66273451, FRANCISCO, Gral."
-58.46680823,-34.66277039, FRANCISCO, Gral."
-58.46674801,-34.66268422, FRANCISCO, Gral."
-58.46673819,-34.66275886, FRANCISCO, Gral."
-58.46673427,-34.66283827, FRANCISCO, Gral."
-58.46666215,-34.66273416, FRANCISCO, Gral."
-58.46665582,-34.6626972, FRANCISCO, Gral."
-58.46663618,-34.6626112, FRANCISCO, Gral."
-58.4666244,-34.66265664, FRANCISCO, Gral."
-58.46657727,-34.66271667, FRANCISCO, Gral."
-58.46656941,-34.66257884, FRANCISCO, Gral."
-58.46652817,-34.66262257, FRANCISCO, Gral."
-58.46651246,-34.66252855, FRANCISCO, Gral."
-58.46649774,-34.66266178, FRANCISCO, Gral."
-58.46647711,-34.66246851, FRANCISCO, Gral."
-58.46646336,-34.66249934, FRANCISCO, Gral."
-58.46644766,-34.66257885, FRANCISCO, Gral."
-58.46642998,-34.66244742, FRANCISCO, Gral."
-58.46642103,-34.66253197, FRANCISCO, Gral."
-58.46640445,-34.6626031, FRANCISCO, Gral."
-58.46636921,-34.66242308, FRANCISCO, Gral."
-58.46635154,-34.66248636, FRANCISCO, Gral."
-58.46633583,-34.66253991, FRANCISCO, Gral."
-58.46631815,-34.66243931, FRANCISCO, Gral."
-58.46631422,-34.6623809, FRANCISCO, Gral."
-58.4663115,-34.66247771, FRANCISCO, Gral."
-58.46626317,-34.66251557, FRANCISCO, Gral."
-58.46622782,-34.66241011, FRANCISCO, Gral."
-58.46621015,-34.66247177, FRANCISCO, Gral."
-58.46620621,-34.66236143, FRANCISCO, Gral."
-58.46011886,-34.66453211, FRANCISCO, Gral."
-58.46010381,-34.66447604, FRANCISCO, Gral."
-58.46008875,-34.66438274, FRANCISCO, Gral."
-58.46002842,-34.66455698, FRANCISCO, Gral."
-58.45992303,-34.66455076, FRANCISCO, Gral."
-58.45981011,-34.66454454, FRANCISCO, Gral."
-58.45981012,-34.66433919, FRANCISCO, Gral."
-58.45966708,-34.66455075, FRANCISCO, Gral."
-58.4596445,-34.66434541, FRANCISCO, Gral."
-58.45957663,-34.66454453, FRANCISCO, Gral."
-58.459539,-34.66435162, FRANCISCO, Gral."
-58.45946372,-34.66454453, FRANCISCO, Gral."
-58.45946372,-34.66435162, FRANCISCO, Gral."
-58.45938844,-34.66439516, FRANCISCO, Gral."
-58.45934327,-34.66453209, FRANCISCO, Gral."
-58.45932822,-34.66446358, FRANCISCO, Gral."
-58.46375993,-34.66213404, FRANCISCO, Gral."
-58.46362192,-34.66205796, FRANCISCO, Gral."
-58.46511168,-34.66355541, FRANCISCO, Gral."
-58.46500443,-34.66350817, FRANCISCO, Gral."
-58.46494006,-34.66347861, FRANCISCO, Gral."
-58.46478263,-34.66330716, FRANCISCO, Gral."
-58.46559827,-34.66382438, FRANCISCO, Gral."
-58.46546232,-34.66363229, FRANCISCO, Gral."
-58.46545153,-34.66378896, FRANCISCO, Gral."
-58.46540505,-34.66368548, FRANCISCO, Gral."
-58.46540145,-34.66374164, FRANCISCO, Gral."
-58.4563523,-34.66597309, FRANCISCO, Gral."
-58.45632764,-34.66600265, FRANCISCO, Gral."
-58.45628694,-34.66600265, FRANCISCO, Gral."
-58.45627582,-34.66592621, FRANCISCO, Gral."
-58.45625367,-34.66596389, FRANCISCO, Gral."
-58.45887688,-34.66662845, FRANCISCO, Gral."
-58.45884851,-34.66665188, FRANCISCO, Gral."
-58.45884612,-34.66659581, FRANCISCO, Gral."
-58.45879309,-34.66665188, FRANCISCO, Gral."
-58.46118919,-34.66151205, FRANCISCO, Gral."
-58.46117511,-34.66157118, FRANCISCO, Gral."
-58.46113442,-34.66145634, FRANCISCO, Gral."
-58.46110213,-34.66150511, FRANCISCO, Gral."
-58.46109514,-34.66155955, FRANCISCO, Gral."
-58.46108663,-34.66162806, FRANCISCO, Gral."
-58.46101649,-34.66156884, FRANCISCO, Gral."
-58.45583625,-34.68316625, AV. - ROCA, CNEL.
-58.45578134,-34.68341351, AV. - ROCA, CNEL.
-58.45569154,-34.68328983, AV. - ROCA, CNEL.
-58.45561167,-34.68312495, AV. - ROCA, CNEL.
-58.45554683,-34.68342585, AV. - ROCA, CNEL.
-58.45542713,-34.68327747, AV. - ROCA, CNEL.
-58.45530982,-34.68328368, AV. - ROCA, CNEL.
-58.45524503,-34.68298278, AV. - ROCA, CNEL.
-58.45521749,-34.68337643, AV. - ROCA, CNEL.
-58.45501292,-34.68293742, AV. - ROCA, CNEL.
-58.454988,-34.68338877, AV. - ROCA, CNEL.
-58.45498299,-34.68326302, AV. - ROCA, CNEL.
-58.45863466,-34.68249499, AV. - ROCA, CNEL.
-58.45861884,-34.68253574, AV. - ROCA, CNEL.
-58.45860302,-34.6824565, AV. - ROCA, CNEL.
-58.45854987,-34.68250653, AV. - ROCA, CNEL.
-58.45849684,-34.68253032, AV. - ROCA, CNEL.
-58.45842896,-34.68255574, AV. - ROCA, CNEL.
-58.46163459,-34.68158236, AV. - ROCA, CNEL.
-58.46141164,-34.68180762, AV. - ROCA, CNEL.
-58.46140979,-34.68172307, AV. - ROCA, CNEL.
-58.46137073,-34.68162923, AV. - ROCA, CNEL.
-58.4613465,-34.68186297, AV. - ROCA, CNEL.
-58.461313,-34.68156928, AV. - ROCA, CNEL.
-58.46130743,-34.68176147, AV. - ROCA, CNEL.
-58.46124043,-34.68188451, AV. - ROCA, CNEL.
-58.46117157,-34.68186144, AV. - ROCA, CNEL.
-58.46115106,-34.68191525, AV. - ROCA, CNEL.
-58.46108035,-34.68196447, AV. - ROCA, CNEL.
-58.46098541,-34.68201368, AV. - ROCA, CNEL.
-58.46088109,-34.68204902, AV. - ROCA, CNEL.
-58.460788,-34.68208751, AV. - ROCA, CNEL.
-58.46073224,-34.68210436, AV. - ROCA, CNEL.
-58.46064287,-34.68214439, AV. - ROCA, CNEL.
-58.46058885,-34.68217972, AV. - ROCA, CNEL.
-58.46056888,-34.68214249, AV. - ROCA, CNEL.
-58.46054422,-34.68219973, AV. - ROCA, CNEL.
-58.46040454,-34.68220586, AV. - ROCA, CNEL.
-58.46036548,-34.68220279, AV. - ROCA, CNEL.
-58.46028724,-34.68220279, AV. - ROCA, CNEL.
-58.46021838,-34.68218594, AV. - ROCA, CNEL.
-58.46016065,-34.68217205, AV. - ROCA, CNEL.
-58.46012344,-34.6821551, AV. - ROCA, CNEL.
-58.46003407,-34.68216439, AV. - ROCA, CNEL.
-58.45996707,-34.68217664, AV. - ROCA, CNEL.
-58.4598945,-34.68219359, AV. - ROCA, CNEL.
-58.45982935,-34.68221207, AV. - ROCA, CNEL.
-58.45979203,-34.68223199, AV. - ROCA, CNEL.
-58.45971205,-34.68227814, AV. - ROCA, CNEL.
-58.45967112,-34.68230122, AV. - ROCA, CNEL.
-58.45961711,-34.68233042, AV. - ROCA, CNEL.
-58.45955567,-34.6823489, AV. - ROCA, CNEL.
-58.45950165,-34.68236431, AV. - ROCA, CNEL.
-58.4535607,-34.68098031, AV. - ROCA, CNEL.
-58.45353255,-34.68091694, AV. - ROCA, CNEL.
-58.45345584,-34.68090639, AV. - ROCA, CNEL.
-58.453374,-34.68088736, AV. - ROCA, CNEL.
-58.45329729,-34.68085563, AV. - ROCA, CNEL.
-58.46725624,-34.66571022, FRANCISCO, Gral."
-58.46724413,-34.66566407, FRANCISCO, Gral."
-58.46723148,-34.6658156, FRANCISCO, Gral."
-58.46722245,-34.66637476, FRANCISCO, Gral."
-58.46722242,-34.66576891, FRANCISCO, Gral."
-58.46722219,-34.66563603, FRANCISCO, Gral."
-58.46721796,-34.66592783, FRANCISCO, Gral."
-58.46721009,-34.66571221, FRANCISCO, Gral."
-58.46720892,-34.66627758, FRANCISCO, Gral."
-58.46720663,-34.6663561, FRANCISCO, Gral."
-58.46720661,-34.66595586, FRANCISCO, Gral."
-58.46720528,-34.66560394, FRANCISCO, Gral."
-58.46720435,-34.66645336, FRANCISCO, Gral."
-58.46719987,-34.66639351, FRANCISCO, Gral."
-58.46719986,-34.66623828, FRANCISCO, Gral."
-58.46719307,-34.66567209, FRANCISCO, Gral."
-58.46719306,-34.66556789, FRANCISCO, Gral."
-58.46719082,-34.66649077, FRANCISCO, Gral."
-58.46717489,-34.66640658, FRANCISCO, Gral."
-58.46717364,-34.66553372, FRANCISCO, Gral."
-58.4671727,-34.66630003, FRANCISCO, Gral."
-58.46717269,-34.66620836, FRANCISCO, Gral."
-58.46717268,-34.66597651, FRANCISCO, Gral."
-58.46717268,-34.66591665, FRANCISCO, Gral."
-58.46717038,-34.66575205, FRANCISCO, Gral."
-58.46716812,-34.6663561, FRANCISCO, Gral."
-58.4671681,-34.66608495, FRANCISCO, Gral."
-58.4671681,-34.66605313, FRANCISCO, Gral."
-58.46716644,-34.66549965, FRANCISCO, Gral."
-58.46716393,-34.66563198, FRANCISCO, Gral."
-58.46716365,-34.66651322, FRANCISCO, Gral."
-58.46715675,-34.66586239, FRANCISCO, Gral."
-58.46715459,-34.66644399, FRANCISCO, Gral."
-58.46715,-34.66612236, FRANCISCO, Gral."
-58.46714703,-34.66570626, FRANCISCO, Gral."
-58.46714702,-34.66555581, FRANCISCO, Gral."
